出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘,普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
1111004,111,2,1101,台灣水泥股份有限公司,水泥工業,0.16,10.0000,48151294.00,-1800056.00,2537417.00,-84209.00
1111004,111,2,1102,亞洲水泥股份有限公司,水泥工業,2.11,10.0000,44168876.00,5495357.00,3558228.00,7444658.00
1111004,111,2,1103,嘉新水泥股份有限公司,水泥工業,-0.74,10.0000,1027363.00,-215200.00,-255143.00,-496512.00
1111004,111,2,1104,環球水泥股份有限公司,水泥工業,1.32,10.0000,3280857.00,353707.00,605034.00,877980.00
1111004,111,2,1108,幸福水泥股份有限公司,水泥工業,0.42,10.0000,1882891.00,248085.00,-31239.00,171747.00
1111004,111,2,1109,信大水泥股份有限公司,水泥工業,0.20,10.0000,3004875.00,420469.00,4882.00,114258.00
1111004,111,2,1110,東南水泥股份有限公司,水泥工業,-0.05,10.0000,752511.00,-23516.00,-14787.00,-36237.00
1111004,111,2,1201,味全食品工業股份有限公司,食品工業,0.37,10.0000,9463147.00,263668.00,-28975.00,186710.00
1111004,111,2,1203,味王股份有限公司,食品工業,0.76,10.0000,3115648.00,453727.00,17087.00,318360.00
1111004,111,2,1210,大成長城企業股份有限公司,食品工業,1.33,10.0000,52655457.00,1393190.00,247245.00,1308833.00
1111004,111,2,1213,大西洋飲料股份有限公司,食品工業,-0.78,10.0000,193745.00,-40795.00,-3638.00,-44365.00
1111004,111,2,1215,台灣卜蜂企業股份有限公司,食品工業,3.04,10.0000,14038618.00,1053723.00,-58823.00,800671.00
1111004,111,2,1216,統一企業股份有限公司,食品工業,1.60,10.0000,254735335.00,15076591.00,3086767.00,13904675.00
1111004,111,2,1217,愛之味股份有限公司,食品工業,0.07,10.0000,2231268.00,106928.00,-45404.00,37299.00
1111004,111,2,1218,泰山企業股份有限公司,食品工業,0.56,10.0000,5314748.00,119749.00,174529.00,273019.00
1111004,111,2,1219,福壽實業股份有限公司,食品工業,1.05,10.0000,8488365.00,366028.00,33896.00,327041.00
1111004,111,2,1220,台榮產業股份有限公司,食品工業,0.29,10.0000,1652921.00,68173.00,7738.00,61518.00
1111004,111,2,1225,福懋油脂股份有限公司,食品工業,1.61,10.0000,7314296.00,390556.00,41003.00,353395.00
1111004,111,2,1227,佳格食品股份有限公司,食品工業,0.54,10.0000,12722669.00,606926.00,63623.00,503176.00
1111004,111,2,1229,聯華實業投資控股股份有限公司,食品工業,1.86,10.0000,6600578.00,1585519.00,2055688.00,3576128.00
1111004,111,2,1231,聯華食品工業股份有限公司,食品工業,1.67,10.0000,4973194.00,520882.00,-41818.00,374706.00
1111004,111,2,1232,大統益股份有限公司,食品工業,5.34,10.0000,11633125.00,1041098.00,62598.00,872719.00
1111004,111,2,1233,天仁茶業股份有限公司,食品工業,0.22,10.0000,858519.00,-11285.00,29767.00,20545.00
1111004,111,2,1234,黑松股份有限公司,食品工業,0.75,10.0000,4047088.00,126238.00,242329.00,302403.00
1111004,111,2,1235,興泰實業股份有限公司,食品工業,0.46,10.0000,9330.00,-5516.00,51700.00,46175.00
1111004,111,2,1236,宏亞食品股份有限公司,食品工業,3.56,10.0000,928559.00,-33485.00,458058.00,385285.00
